 19.25 20.25 30.52 19.44 26.55 23.14 42.08 17.66 38.69 39.50 29.91 30.39 16.64 39.79 35.78 22.47 28.45 32.23 44.41 39.51 34.29 42.86 33.62 30.47 39.24 28.67 39.73 34.45 48.88 36.85
 22.49 24.10 34.26 22.75 30.09 26.44 46.51 21.13 42.90 43.58 34.17 34.67 20.10 44.48 39.94 26.17 32.60 36.35 49.08 43.86 38.70 47.37 37.98 34.56 43.08 32.72 42.96 38.49 53.59 41.33
 24.04 26.45 36.10 24.58 31.81 28.08 48.52 23.06 45.02 45.34 36.07 36.97 21.93 47.04 41.88 28.38 34.88 38.64 51.23 45.91 40.92 49.62 40.12 36.77 44.83 34.82 44.12 40.42 55.66 43.65
 27.70 30.84 40.24 28.60 35.62 32.07 53.14 27.19 49.58 49.67 40.40 41.66 26.05 51.97 46.08 32.96 39.38 43.24 55.79 50.30 45.62 54.35 44.76 40.86 48.76 39.05 47.43 44.66 60.15 48.25
 31.32 35.13 44.18 32.72 39.41 36.02 57.24 31.53 53.66 53.57 44.55 46.02 30.20 56.27 49.86 37.46 43.80 47.58 59.71 54.34 49.95 58.51 48.92 44.78 52.39 43.06 50.32 48.42 63.96 52.50
 33.84 38.25 46.68 35.60 41.65 38.66 59.61 34.73 56.28 55.88 47.01 49.17 33.10 59.09 51.90 40.74 46.80 50.62 61.88 56.65 52.81 61.05 51.63 47.08 54.35 45.61 51.69 50.79 65.86 55.03
 37.28 42.31 50.50 39.60 45.07 42.54 63.49 39.15 60.35 59.59 50.57 53.49 37.08 63.11 55.11 45.22 50.74 54.74 65.23 60.32 56.89 64.95 55.62 50.30 57.71 49.15 54.19 54.33 69.12 58.84
 39.67 45.02 52.94 42.44 46.95 45.16 65.88 42.33 62.91 61.85 52.81 56.39 39.78 65.78 56.76 48.28 53.44 57.67 66.91 62.35 59.53 67.32 58.12 52.05 59.47 51.28 55.24 56.37 70.58 61.12
 42.86 48.61 55.94 45.98 49.57 48.51 68.47 46.48 65.87 64.48 55.39 59.86 43.38 68.30 58.78 52.23 56.51 61.00 68.89 64.68 62.51 69.92 61.05 54.48 61.81 54.10 56.72 58.84 72.10 63.86
 46.42 52.23 59.29 49.88 52.43 52.19 71.23 50.90 68.95 67.37 58.29 63.68 47.15 71.24 61.03 56.26 60.07 64.48 71.06 67.27 65.68 72.70 64.21 57.01 64.39 57.13 58.55 61.75 73.95 66.74
 49.01 54.87 61.64 52.78 54.19 54.77 73.23 54.47 71.30 69.34 60.28 66.32 49.94 73.08 62.21 59.29 62.42 67.13 72.19 68.70 67.92 74.54 66.38 58.47 66.12 59.13 59.32 63.48 74.56 68.57
 50.40 56.17 62.54 54.35 54.58 55.99 73.42 56.57 71.82 69.60 60.58 67.43 51.51 73.20 61.78 60.81 63.44 68.10 71.67 68.54 68.34 74.48 66.84 58.53 66.11 59.78 58.68 63.92 73.37 68.72
 52.01 57.90 64.08 56.27 55.04 57.72 74.56 58.89 73.52 70.76 61.28 69.22 53.03 74.12 61.70 62.76 64.78 69.69 71.95 68.78 69.55 75.50 67.99 58.83 67.09 60.76 58.61 64.72 73.01 69.55
 53.11 58.99 64.60 57.41 54.97 58.54 74.38 60.46 73.69 70.65 61.20 69.85 54.02 73.80 60.70 63.88 65.27 70.20 71.11 68.10 69.52 75.12 67.85 58.49 66.73 60.94 57.49 64.71 71.30 69.41
 55.96 61.71 67.21 60.40 56.67 61.20 76.49 63.50 76.30 72.63 62.96 72.29 56.77 75.70 61.79 66.58 67.62 72.58 72.26 69.34 71.46 76.99 69.79 59.87 68.73 63.02 58.75 66.49 71.74 71.02
 56.85 62.91 67.91 61.51 56.35 62.00 76.52 64.84 76.86 72.80 62.93 72.89 57.62 75.47 60.79 67.59 68.10 73.10 71.69 68.79 71.46 76.89 69.74 59.50 68.63 63.35 57.73 66.62 70.10 71.09
 57.19 63.32 67.87 61.84 55.49 62.03 75.91 64.90 76.73 72.04 61.87 72.58 57.58 74.77 59.22 67.52 68.10 72.80 70.28 67.19 70.60 75.91 68.68 58.43 67.98 63.00 56.50 65.72 67.78 70.01
 57.05 63.40 67.50 61.94 54.43 61.78 74.76 64.73 76.00 71.01 60.81 71.74 57.36 73.39 57.43 67.19 67.48 72.05 68.67 65.54 69.28 74.49 67.36 57.23 66.98 62.29 54.89 64.69 65.19 68.79
 57.11 63.92 67.33 62.16 53.51 61.71 73.79 64.33 75.62 70.06 59.66 71.08 57.22 72.43 55.87 66.78 67.12 71.32 67.25 63.78 68.04 73.34 65.93 56.19 66.10 61.78 53.72 63.63 62.76 67.62
 55.40 62.89 65.74 60.66 51.29 60.14 71.58 62.18 73.82 67.91 56.91 68.98 55.35 70.21 53.16 64.89 65.30 69.28 64.43 60.91 65.68 70.89 63.20 53.68 63.99 59.82 51.18 61.18 59.33 65.28
 51.97 60.38 62.46 57.53 47.03 56.84 67.67 58.27 70.60 63.91 52.40 65.11 51.73 66.42 48.41 61.33 61.77 65.48 59.88 56.24 61.33 66.76 58.54 49.33 59.94 56.24 46.89 56.89 53.90 61.09
 51.32 60.46 61.81 56.99 46.10 56.27 66.25 56.99 69.47 62.59 50.76 63.78 51.04 65.03 47.09 60.29 60.93 64.25 58.03 54.28 59.72 65.14 56.67 48.13 58.86 55.36 45.83 55.36 51.61 59.76
 49.86 59.90 60.44 55.76 44.60 55.03 64.12 54.85 67.85 60.59 48.52 61.73 49.53 63.22 45.19 58.63 59.47 62.30 55.68 52.01 57.55 62.79 54.17 46.30 56.99 53.96 44.34 53.26 48.97 57.78
 45.65 56.98 56.54 51.70 40.25 51.20 59.66 49.85 63.68 56.20 43.31 57.28 45.18 58.98 40.67 54.32 55.49 57.92 50.75 46.91 52.80 58.23 48.87 41.86 52.79 49.73 40.00 48.39 43.86 53.39
 41.93 54.33 52.80 47.99 36.61 47.81 55.24 45.19 59.94 51.90 38.46 53.22 41.37 55.11 36.78 50.39 51.72 53.84 46.23 42.48 48.53 53.87 44.07 37.79 48.80 46.09 36.42 44.00 39.31 49.32
 39.51 53.08 50.46 45.48 34.51 45.74 52.42 41.96 57.44 49.19 35.10 50.56 38.70 52.76 34.47 47.70 49.47 51.20 43.26 39.49 45.74 51.13 40.75 35.40 46.47 43.81 34.47 41.01 36.52 46.75
 36.05 50.35 46.78 41.64 31.36 42.34 48.04 37.48 53.61 45.16 30.79 46.62 34.92 49.15 31.19 43.91 45.75 47.37 39.02 35.55 41.92 47.01 36.26 32.05 42.68 40.42 31.49 37.05 32.79 42.92
 32.15 47.62 42.72 37.47 27.92 38.81 43.51 32.81 49.56 40.90 25.86 42.62 30.82 45.32 27.66 39.68 41.78 43.33 34.75 31.33 37.85 42.91 31.65 28.41 38.83 36.55 28.25 32.77 29.06 38.99
 27.49 43.54 37.79 32.42 23.89 34.40 38.06 27.45 44.62 35.78 20.30 37.74 25.95 40.67 23.60 34.71 36.68 38.47 29.87 26.67 33.21 38.09 26.32 24.07 34.15 31.97 24.40 27.90 24.72 34.22
 24.30 40.71 34.11 28.87 21.60 31.46 34.06 23.59 40.91 32.12 16.53 34.25 22.67 37.36 21.29 31.09 32.92 35.03 26.63 23.62 30.17 34.81 22.85 21.64 30.87 28.71 22.34 24.69 22.25 31.03
